runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,waitingTimePassengerAverage
10000000,1,1.0,5,10,0.01,10,0.0,3,105,50760,0,49260,50010,0.014997000599880024,6160333.333333333,
10000000,1,1.0,5,10,0.01,100,0.0,36,110,81981,0,41751,50010,0.16514697060587882,5535842.105263158,
10000000,1,1.0,5,10,0.01,1000,0.0,79,110,294866,0,29675,50010,1.8931613677264547,5326875.0,
10000000,1,1.0,5,10,0.01,10000,0.0,87,107,778932,0,18404,50010,9.898500299940013,4703224.7191011235,
10000000,1,1.0,5,10,0.01,100000,0.0,49,118,3190552,0,37147,50010,57.80427914417117,4061673.4693877553,
10000000,1,1.0,5,10,0.01,1000000,0.0,98,122,3244964,0,22932,50010,58.88630273945211,4408202.02020202,
10000000,1000000,1.0,5,10,0.01,10,0.0,9,124,261180,119,47743,50010,0.22335532893421317,6866222.222222222,
10000000,1000000,1.0,5,10,0.01,100,0.0,32,115,286219,369,42590,50010,0.7241951609678065,5909060.606060606,
10000000,1000000,1.0,5,10,0.01,1000,0.0,76,108,422091,868,28383,50010,2.446750649870026,4798532.467532467,
10000000,1000000,1.0,5,10,0.01,10000,0.0,119,125,478870,1339,15029,50010,3.632353529294141,4393710.743801652,
10000000,1000000,1.0,5,10,0.01,100000,0.0,96,98,495137,705,17378,50010,3.893901219756049,4655377.551020408,
10000000,1000000,1.0,5,10,0.01,1000000,0.0,99,102,468044,686,17463,50010,3.3511697660467905,4634010.0,
